intent_index,intent,intent_group,intent_group_index
1.0,Partitioned analysis for multi-gene alignments,Advanced tutorial,1.0
2.0,Partitioned analysis with mixed data,Advanced tutorial,1.0
3.0,Choosing the right partitioning scheme,Advanced tutorial,1.0
4.0,Ultrafast bootstrapping with partition model,Advanced tutorial,1.0
5.0,Constrained tree search,Advanced tutorial,1.0
6.0,Tree topology tests,Advanced tutorial,1.0
7.0,Testing constrained tree,Advanced tutorial,1.0
8.0,Consensus construction and bootstrap value assignment,Advanced tutorial,1.0
9.0,User-defined substitution models,Advanced tutorial,1.0
10.0,Inferring site-specific rates,Advanced tutorial,1.0
11.0,Where to go from here?,Advanced tutorial,1.0
12.0,Tests of symmetry,Assessing phylogenetic assumptions,2.0
13.0,Likelihood mapping,Assessing phylogenetic assumptions,2.0
14.0,Input data,Beginner’s tutorial,3.0
15.0,First running example,Beginner’s tutorial,3.0
16.0,Choosing the right substitution model,Beginner’s tutorial,3.0
17.0,Using codon models,Beginner’s tutorial,3.0
18.0,"Binary, morphological and SNP data",Beginner’s tutorial,3.0
19.0,Assessing branch supports with ultrafast bootstrap approximation,Beginner’s tutorial,3.0
20.0,Reducing impact of severe model violations with UFBoot,Beginner’s tutorial,3.0
21.0,Assessing branch supports with standard nonparametric bootstrap,Beginner’s tutorial,3.0
22.0,Assessing branch supports with single branch tests,Beginner’s tutorial,3.0
23.0,Utilizing multi-core CPUs,Beginner’s tutorial,3.0
24.0,Where to go from here?,Beginner’s tutorial,3.0
25.0,General options,Command reference,4.0
26.0,Checkpointing to resume stopped run,Command reference,4.0
27.0,Likelihood mapping analysis,Command reference,4.0
28.0,Automatic model selection,Command reference,4.0
29.0,Specifying substitution models,Command reference,4.0
30.0,Rate heterogeneity,Command reference,4.0
31.0,Partition model options,Command reference,4.0
32.0,Site-specific frequency model options,Command reference,4.0
33.0,Tree search parameters,Command reference,4.0
34.0,Ultrafast bootstrap parameters,Command reference,4.0
35.0,Nonparametric bootstrap,Command reference,4.0
36.0,Single branch tests,Command reference,4.0
37.0,Ancestral sequence reconstruction,Command reference,4.0
38.0,Tree topology tests,Command reference,4.0
39.0,Constructing consensus tree,Command reference,4.0
40.0,Computing Robinson-Foulds distance,Command reference,4.0
41.0,Generating random trees,Command reference,4.0
42.0,Miscellaneous options,Command reference,4.0
43.0,General requirements,Compilation guide,5.0
44.0,Downloading source code,Compilation guide,5.0
45.0,Compiling under Linux,Compilation guide,5.0
46.0,Compiling under Mac OS X,Compilation guide,5.0
47.0,Compiling under Windows,Compilation guide,5.0
48.0,Compiling 32-bit version,Compilation guide,5.0
49.0,Compiling MPI version,Compilation guide,5.0
50.0,Compiling Xeon Phi Knights Landing version,Compilation guide,5.0
51.0,About precompiled binaries,Compilation guide,5.0
52.0,Setup an Xcode project in MacOS,Compilation guide,5.0
53.0,Partition models,Complex models,6.0
54.0,Mixture models,Complex models,6.0
55.0,Site-specific frequency models,Complex models,6.0
56.0,Heterotachy models,Complex models,6.0
57.0,Inferring species tree,Concordance Factor,7.0
58.0,Inferring gene/locus trees,Concordance Factor,7.0
59.0,Gene concordance factor (gCF),Concordance Factor,7.0
60.0,Site concordance factor (sCF),Concordance Factor,7.0
61.0,Putting it all together,Concordance Factor,7.0
62.0,Alignment class,Developer guide,8.0
63.0,Model of substitution,Developer guide,8.0
64.0,PhyloTree class (phylogenetic tree),Developer guide,8.0
65.0,How do I get help?,Frequently asked questions,9.0
66.0,How do I report bug?,Frequently asked questions,9.0
67.0,How do I interpret ultrafast bootstrap (UFBoot) support values?,Frequently asked questions,9.0
68.0,How does IQ-TREE treat gap/missing/ambiguous characters?,Frequently asked questions,9.0
69.0,Can I mix DNA and protein data in a partitioned analysis?,Frequently asked questions,9.0
70.0,What is the interpretation of branch lengths when mixing codon and DNA data?,Frequently asked questions,9.0
71.0,What is the purpose of composition test?,Frequently asked questions,9.0
72.0,What is the good number of CPU cores to use?,Frequently asked questions,9.0
73.0,How do I save time for standard bootstrap?,Frequently asked questions,9.0
74.0,Why does IQ-TREE complain about the use of +ASC model?,Frequently asked questions,9.0
75.0,How does IQ-TREE treat identical sequences?,Frequently asked questions,9.0
76.0,What are the differences between alignment columns/sites and patterns?,Frequently asked questions,9.0
77.0,IQ-TREE web server,Getting started,10.0
78.0,Installation,Getting started,10.0
79.0,For Windows users,Getting started,10.0
80.0,For Mac OS X users,Getting started,10.0
81.0,Minimal command-line examples,Getting started,10.0
82.0,Where to go from here?,Getting started,10.0
83.0,Why IQ-TREE?,Introduction,11.0
84.0,Key features,Introduction,11.0
85.0,Free web server,Introduction,11.0
86.0,User support,Introduction,11.0
87.0,Documentation,Introduction,11.0
88.0,How to cite IQ-TREE?,Introduction,11.0
89.0,Development team,Introduction,11.0
90.0,Credits and acknowledgements,Introduction,11.0
91.0,Inferring time tree with tip dates,Phylogenetic Dating,12.0
92.0,Calibrating tree using ancestral dates,Phylogenetic Dating,12.0
93.0,Dating an existing tree,Phylogenetic Dating,12.0
94.0,Obtaining confidence intervals,Phylogenetic Dating,12.0
95.0,Excluding outlier taxa/nodes,Phylogenetic Dating,12.0
96.0,Full list of LSD2 options,Phylogenetic Dating,12.0
97.0,Counts files,Polymorphism-aware models,13.0
98.0,First running example,Polymorphism-aware models,13.0
99.0,Substitution models,Polymorphism-aware models,13.0
100.0,Virtual population size,Polymorphism-aware models,13.0
101.0,Level of polymorphism,Polymorphism-aware models,13.0
102.0,Sampling method,Polymorphism-aware models,13.0
103.0,State frequency type,Polymorphism-aware models,13.0
104.0,Rate heterogeneity,Polymorphism-aware models,13.0
105.0,Bootstrap branch support,Polymorphism-aware models,13.0
106.0,Interpretation of branch lengths,Polymorphism-aware models,13.0
107.0,Inferring unrooted tree with outgroup,Rooting phylogenetic trees,14.0
108.0,Inferring rooted trees without outgroup,Rooting phylogenetic trees,14.0
109.0,Testing root positions,Rooting phylogenetic trees,14.0
110.0,DNA models,Substitution models,15.0
111.0,Protein models,Substitution models,15.0
112.0,Codon models,Substitution models,15.0
113.0,Binary and morphological models,Substitution models,15.0
114.0,Ascertainment bias correction,Substitution models,15.0
115.0,Rate heterogeneity across sites,Substitution models,15.0
116.0,Tree Inference,Web server tutorial,16.0
117.0,Model Selection,Web server tutorial,16.0
118.0,Analysis Results,Web server tutorial,16.0
