,test_id,expected,actual
0,216.0,17.0,20.0
1,215.0,17.0,20.0
2,62.0,13.0,5.0
3,203.0,18.0,18.0
4,47.0,4.0,4.0
5,185.0,16.0,16.0
6,74.0,6.0,6.0
7,129.0,12.0,12.0
8,122.0,10.0,10.0
9,96.0,6.0,8.0
10,95.0,8.0,8.0
11,35.0,3.0,3.0
12,192.0,14.0,16.0
13,155.0,16.0,14.0
14,184.0,14.0,16.0
15,138.0,14.0,13.0
16,49.0,5.0,5.0
17,170.0,14.0,14.0
18,208.0,14.0,19.0
19,136.0,13.0,13.0
20,25.0,15.0,2.0
21,60.0,13.0,5.0
22,186.0,16.0,16.0
23,45.0,4.0,4.0
24,38.0,3.0,3.0
25,133.0,9.0,12.0
26,178.0,9.0,16.0
27,219.0,20.0,20.0
28,118.0,10.0,10.0
29,101.0,10.0,9.0
30,103.0,10.0,9.0
31,213.0,17.0,20.0
32,189.0,16.0,16.0
33,27.0,1.0,2.0
34,159.0,13.0,14.0
35,144.0,13.0,13.0
36,195.0,17.0,17.0
37,15.0,1.0,1.0
38,46.0,4.0,4.0
39,37.0,3.0,3.0
40,8.0,1.0,1.0
41,179.0,16.0,16.0
42,115.0,10.0,10.0
43,137.0,12.0,13.0
44,83.0,13.0,7.0
45,156.0,14.0,14.0
46,181.0,16.0,16.0
